report_year,state,city_town,so2_annual_avg,no2_annual_avg,pm10_annual_avg,pm25_annual_avg
2023,Andaman & Nicobar (UT),Port Blair,,,22,
2023,Andhra Pradesh,Amaravati,14,11,71,34
2023,Andhra Pradesh,Anantapur,10,20,58,24
2023,Andhra Pradesh,Chittoor,5,11,57,33
2023,Andhra Pradesh,Kadapa,4,22,53,34
2023,Andhra Pradesh,Kakinada,8,16,76,
2023,Andhra Pradesh,Kurnool,7,17,60,30
2023,Andhra Pradesh,Rajahmundry/ Rajamahendravaram,10,16,78,38
2023,Andhra Pradesh,Tirupati,5,30,61,32
2023,Andhra Pradesh,Vijayawada,6,19,71,38
2023,Andhra Pradesh,Visakhapatnam,11,34,129,50
2023,Andhra Pradesh,Vizianagaram,9,20,74,28
2023,Arunachal Pradesh,Naharlagun,,,45,24
2023,Assam,Bongaigaon,5,12,51,24
2023,Assam,Brynihat,33,28,289,146
2023,Assam,Guwahati,13,10,120,57
2023,Assam,Nagaon,11,15,113,51
2023,Assam,Nalbari,6,17,132,61
2023,Assam,Silcher,6,11,33,17
2023,Assam,Sivasagar,4,12,40,18
2023,Assam,Tinsukia,6,12,52,24
2023,Bihar,Araria,15,26,167,73
2023,Bihar,Arrah,10,36,168,84
2023,Bihar,Aurangabad,12,8,139,61
2023,Bihar,Begusarai,18,39,264,147
2023,Bihar,Bettiah,9,24,187,85
2023,Bihar,Bihar Sharif,10,7,121,42
2023,Bihar,Chhapra,17,20,210,82
2023,Bihar,Gaya,12,21,119,59
2023,Bihar,Hajipur,6,28,173,57
2023,Bihar,Katihar,14,50,193,89
2023,Bihar,Kishanganj,12,35,148,57
2023,Bihar,Manguraha,5,31,91,47
2023,Bihar,Motihari,7,49,142,47
2023,Bihar,Munger,20,28,193,73
2023,Bihar,Muzaffarpur,13,21,179,83
2023,Bihar,Patna,8,32,183,90
2023,Bihar,Purnia,9,28,154,89
2023,Bihar,Rajgir,5,18,141,73
2023,Bihar,Saharsa,16,7,183,89
2023,Bihar,Samastipur,14,18,184,82
