Year,State,No. of Fatal Accident,No. of Serious Accident
2019,Chhattisgarh,7,10
2019,Jharkhand,11,7
2019,Madhya Pradesh,3,8
2019,Maharashtra,3,12
2019,Orissa,7,2
2019,Rajasthan,1,0
2019,Telangana,8,143
2019,Tamil Nadu,1,0
2019,Uttar Pradesh,2,0
2019,West Bengal,8,11
2020,Chhattisgarh,12,5
2020,Gujarat,0,1
2020,Jharkhand,8,11
2020,Madhya Pradesh,4,5
2020,Maharashtra,4,4
2020,Odisha,5,2
2020,Telangana,9,80
2020,Uttar Pradesh,0,2
2020,West Bengal,6,8
2021,Chhattisgarh,5,11
2021,Jharkhand,7,13
2021,Madhya Pradesh,6,13
2021,Maharashtra,4,5
2021,Odisha,2,4
2021,Tamil Nadu,0,1
2021,Telangana,7,134
2021,Uttar Pradesh,2,2
2021,West Bengal,10,10
