report_year,station_code,monitoring_location,state,dissolved_oxygen_min,dissolved_oxygen_max,ph_min,ph_max,bod_min,bod_max,fecal_coliform_min,fecal_coliform_max
2025,1492,RIVER YAMUNA AT YAMUNOTRI,UTTARAKHAND,11.2,11.2,8.3,8.3,1.0,1.0,2,2
2025,1493,RIVER YAMUNA AT HANUMANCHATTI,UTTARAKHAND,11.2,11.2,8.3,8.3,1.0,1.0,2,2
2025,1494,RIVER YAMUNA AT U/S OF LAKHWAR DAM,UTTARAKHAND,10.4,10.7,8.0,8.3,1.0,1.0,2,2
2025,1490,"RIVER YAMUNA AT U/S DAKPATHER, DEHRADUN",UTTARAKHAND,9.5,9.8,7.9,8.2,1.0,1.0,49,140
2025,1553,RIVER YAMUNA U/S PAONTA SAHIB,HIMACHAL PRADESH,7.5,8.5,7.6,8.5,1.0,1.4,22,58
2025,1554,RIVER YAMUNA D/S PAONTA SAHIB,HIMACHAL PRADESH,7.4,8.3,7.6,8.4,1.0,2.1,46,170
2025,4439,RIVER YAMUNA U/S SUN PHARMACEUTICALS,HIMACHAL PRADESH,7.4,8.4,7.9,8.4,1.0,1.5,39,63
2025,4440,RIVER YAMUNA D/S SUN PHARMACEUTICALS,HIMACHAL PRADESH,7.4,8.3,7.8,8.4,1.0,1.9,46,94
2025,1117,"RIVER YAMUNA AT HATHNIKUND, YAMUNANAGAR",HARYANA,6.1,7.6,6.9,7.6,1.0,5.0,100,100
2025,1496,"RIVER YAMUNA AT KALANAUR, YAMUNA NAGAR",HARYANA,6.2,7.9,6.8,7.9,1.0,2.2,200,200
2025,4914,"RIVER YAMUNA AT MANGLAURA, KARNAL",HARYANA,6.4,7.9,6.4,7.9,1.0,4.8,200,200
2025,10004,RIVER YAMUNA AT KHOJKIPUR PANIPAT,HARYANA,3.2,7.3,6.1,8.1,2.6,12.3,200,500
2025,1119,RIVER YAMUNA AT SONEPAT,HARYANA,6.6,7.9,7.1,8.2,1.0,3.2,200,200
2025,1120,"RIVER YAMUNA AT PALLA, DELHI",DELHI,5.4,9.8,7.1,8.4,1.5,6.0,790,2200
2025,5098,RIVER YAMUNA AT WAZIRABAD,DELHI,3.4,8.0,6.9,8.3,2.0,11.0,640,5400
2025,5099,RIVER YAMUNA AT ISBT BRIDGE,DELHI,0.3,4.2,7.1,7.9,1.0,46.0,2800,5400000
2025,5100,RIVER YAMUNA AT ITO BRIDGE,DELHI,0.3,5.1,7.2,7.8,4.0,70.0,1800,9200000
2025,1121,"RIVER YAMUNA AT NIZAMUDDIN, DELHI",DELHI,0.3,4.0,6.9,7.8,7.2,52.0,5000,1100000
2025,1375,"RIVER YAMUNA AT OKHLA BRIDGE (INLET OF AGRA CANAL), DELHI",DELHI,0.3,3.7,7.0,7.7,7.0,50.0,3500,2200000
2025,1812,RIVER YAMUNA AT OKHLA AFTER MEETING OF SHAHDARA DRAIN,DELHI,0.3,3.2,7.1,7.7,7.0,72.0,11000,16000000
2025,2493,RIVER YAMUNA AT SHAHPUR,UTTAR PRADESH,4.0,6.0,7.7,8.2,11.6,15.2,22000,46000
2025,30024,"RIVER YAMUNA AT MOHENA PALWAL ROAD, HARYANA",HARYANA,0.4,6.5,7.3,8.1,22.0,26.0,2200,2200000
2025,2495,"RIVER YAMUNA AT KESIGHAT, VRINDAVAN",UTTAR PRADESH,4.6,7.0,7.5,8.1,8.6,13.6,17000,27000
2025,1123,"RIVER YAMUNA AT MATHURA U/S ,NEAR GAUGHAT U.P.",UTTAR PRADESH,5.2,7.2,7.6,8.2,9.0,14.4,21000,31000
2025,2494,"RIVER YAMUNA AT VISHRAMGHAT, MATHURA",UTTAR PRADESH,4.4,7.0,7.6,8.1,8.4,13.8,21000,33000
2025,1124,"RIVER YAMUNA AT MATHURA D/S , NEAR SHAMSHAN GHAT U.P.",UTTAR PRADESH,4.2,7.4,7.5,8.2,10.8,14.2,21000,34000
2025,1125,"RIVER YAMUNA AT AGRA U/S, U.P.(KAILASH GHAT)",UTTAR PRADESH,6.3,6.9,7.2,7.5,6.8,12.0,1200,7000
2025,1126,"RIVER YAMUNA AT D/S OF AGRA, U.P.",UTTAR PRADESH,5.7,5.8,7.4,7.8,7.6,12.8,2600,11000
2025,1498,"RIVER YAMUNA AT BATESWAR, U.P",UTTAR PRADESH,6.7,7.2,7.3,7.6,7.2,8.4,2700,4800
2025,1127,"RIVER YAMUNA AT ETAWAH, U.P.",UTTAR PRADESH,7.1,7.4,7.6,8.3,6.8,16.8,700,15000
2025,1499,"RIVER YAMUNA AT JUHIKA B/C WITH CHANBAL, ETAWAH, U.P",UTTAR PRADESH,7.5,7.9,7.7,8.2,5.6,28.0,490,9400
2025,2283,RIVER YAMUNA AT HAMIRPUR,UTTAR PRADESH,5.9,7.9,7.4,8.0,2.8,4.1,350,1700
2025,1069,"RIVER YAMUNA AT PRAYAGRAJ D/S (BALUA GHAT), U.P.",UTTAR PRADESH,7.5,9.1,8.0,8.3,2.5,2.9,780,11000
