date,mine,subsidiary,shift,workers_scheduled,workers_present,contractors_present,absentee_pct
2025-08-01,Talcher OC,CCL,A,98,94,37,4.08
2025-08-01,Madhusudanpur Colliery,ECL,B,101,90,32,10.89
2025-08-01,Kusunda Colliery,MCL,C,207,195,59,5.8
2025-08-02,Talcher OC,CCL,A,288,284,25,1.39
2025-08-02,Sohagpur UG,CCL,B,163,160,36,1.84
2025-08-02,Ningah Colliery,MCL,C,171,162,60,5.26
2025-08-03,Manikpur UG,NCL,A,290,279,27,3.79
2025-08-03,Madhusudanpur Colliery,ECL,B,135,121,40,10.37
2025-08-03,Kusunda Colliery,SCCL,C,182,175,32,3.85
2025-08-04,Moonidih Colliery,NCL,A,196,172,35,12.24
2025-08-04,Gevra OC,SECL,B,222,215,32,3.15
2025-08-04,Singrauli OC,MCL,C,340,308,11,9.41
2025-08-05,Jhanjhara Project Colly,SECL,A,213,186,12,12.68
2025-08-05,Jhanjhara Project Colly,MCL,B,302,271,37,10.26
2025-08-05,Jharsuguda OC,NCL,C,341,295,26,13.49
2025-08-06,Ningah Colliery,NCL,A,303,257,33,15.18
2025-08-06,Kusmunda OC,MCL,B,115,113,49,1.74
2025-08-06,Gevra OC,SECL,C,143,135,42,5.59
2025-08-07,Moonidih Colliery,SECL,A,289,258,45,10.73
2025-08-07,Madhusudanpur Colliery,WCL,B,178,161,53,9.55
2025-08-07,Nigahi OC,SECL,C,169,158,35,6.51
2025-08-08,Talcher OC,NCL,A,80,71,37,11.25
2025-08-08,Amlohri OC,SCCL,B,244,223,53,8.61
2025-08-08,Kusunda Colliery,CCL,C,341,312,52,8.5
2025-08-09,Jhanjhara Project Colly,MCL,A,225,207,15,8.0
2025-08-09,Sohagpur UG,NCL,B,200,188,22,6.0
2025-08-09,Madhusudanpur Colliery,SCCL,C,92,78,49,15.22
2025-08-10,Sohagpur UG,NCL,A,117,106,55,9.4
2025-08-10,Nigahi OC,NCL,B,276,253,19,8.33
2025-08-10,Singrauli OC,BCCL,C,82,79,59,3.66
2025-08-11,Kusmunda OC,SCCL,A,192,167,13,13.02
2025-08-11,Talcher OC,BCCL,B,207,202,39,2.42
2025-08-11,Madhusudanpur Colliery,MCL,C,317,299,58,5.68
2025-08-12,Manikpur UG,WCL,A,306,286,45,6.54
2025-08-12,Dipka OC,SCCL,B,161,153,38,4.97
2025-08-12,Moonidih Colliery,SECL,C,206,199,59,3.4
2025-08-13,Amlohri OC,NCL,A,346,317,27,8.38
2025-08-13,Dipka OC,NCL,B,119,113,27,5.04
2025-08-13,Gevra OC,BCCL,C,243,236,18,2.88
2025-08-14,Madhusudanpur Colliery,CCL,A,198,178,55,10.1
2025-08-14,Kusunda Colliery,MCL,B,112,101,44,9.82
2025-08-14,Dipka OC,WCL,C,292,250,34,14.38
2025-08-15,Manikpur UG,WCL,A,90,87,40,3.33
2025-08-15,Ningah Colliery,WCL,B,260,231,36,11.15
2025-08-15,Talcher OC,SECL,C,192,176,37,8.33
2025-08-16,Dipka OC,WCL,A,94,85,56,9.57
2025-08-16,Madhusudanpur Colliery,ECL,B,319,312,35,2.19
2025-08-16,Jharsuguda OC,WCL,C,93,80,18,13.98
2025-08-17,Sohagpur UG,SECL,A,316,276,34,12.66
2025-08-17,Gevra OC,MCL,B,188,171,58,9.04
2025-08-17,Manikpur UG,WCL,C,274,243,26,11.31
2025-08-18,Sohagpur UG,ECL,A,121,110,32,9.09
2025-08-18,Kusunda Colliery,ECL,B,115,110,58,4.35
2025-08-18,Ningah Colliery,ECL,C,206,180,49,12.62
2025-08-19,Madhusudanpur Colliery,BCCL,A,202,175,46,13.37
2025-08-19,Kusunda Colliery,MCL,B,318,301,20,5.35
2025-08-19,Jharsuguda OC,CCL,C,138,132,29,4.35
2025-08-20,Jhanjhara Project Colly,WCL,A,93,91,35,2.15
2025-08-20,Nigahi OC,NCL,B,181,155,16,14.36
2025-08-20,Nigahi OC,BCCL,C,234,226,60,3.42
2025-08-21,Jharsuguda OC,WCL,A,101,90,52,10.89
2025-08-21,Gevra OC,MCL,B,115,105,10,8.7
2025-08-21,Sohagpur UG,BCCL,C,295,284,37,3.73
2025-08-22,Gevra OC,WCL,A,315,298,21,5.4
2025-08-22,Nigahi OC,SECL,B,347,341,49,1.73
2025-08-22,Amlohri OC,SECL,C,327,299,30,8.56
2025-08-23,Sohagpur UG,BCCL,A,205,198,27,3.41
2025-08-23,Manikpur UG,SCCL,B,310,274,46,11.61
2025-08-23,Jharsuguda OC,SCCL,C,274,245,30,10.58
2025-08-24,Madhusudanpur Colliery,SECL,A,329,289,31,12.16
2025-08-24,Moonidih Colliery,NCL,B,221,205,15,7.24
2025-08-24,Kusunda Colliery,NCL,C,288,264,54,8.33
2025-08-25,Dipka OC,ECL,A,331,302,15,8.76
2025-08-25,Moonidih Colliery,NCL,B,193,174,29,9.84
2025-08-25,Singrauli OC,MCL,C,268,245,37,8.58
2025-08-26,Nigahi OC,SCCL,A,249,223,27,10.44
2025-08-26,Moonidih Colliery,NCL,B,208,183,30,12.02
2025-08-26,Jhanjhara Project Colly,SCCL,C,174,152,27,12.64
2025-08-27,Nigahi OC,BCCL,A,348,324,22,6.9
2025-08-27,Moonidih Colliery,SECL,B,196,176,10,10.2
2025-08-27,Nigahi OC,ECL,C,144,127,45,11.81
2025-08-28,Moonidih Colliery,SCCL,A,144,135,16,6.25
2025-08-28,Sohagpur UG,SCCL,B,86,80,40,6.98
2025-08-28,Dipka OC,ECL,C,254,222,26,12.6
2025-08-29,Sohagpur UG,BCCL,A,324,280,35,13.58
2025-08-29,Dipka OC,ECL,B,117,108,19,7.69
2025-08-29,Madhusudanpur Colliery,NCL,C,235,202,17,14.04
2025-08-30,Talcher OC,NCL,A,293,273,59,6.83
2025-08-30,Talcher OC,SCCL,B,274,250,29,8.76
2025-08-30,Sohagpur UG,ECL,C,299,266,49,11.04
2025-08-31,Nigahi OC,NCL,A,130,127,50,2.31
2025-08-31,Kusunda Colliery,CCL,B,215,202,25,6.05
2025-08-31,Madhusudanpur Colliery,WCL,C,118,102,38,13.56
2025-09-01,Nigahi OC,NCL,A,320,285,28,10.94
2025-09-01,Nigahi OC,SCCL,B,224,212,14,5.36
2025-09-01,Singrauli OC,NCL,C,199,194,37,2.51
2025-09-02,Jhanjhara Project Colly,SECL,A,195,183,19,6.15
2025-09-02,Jhanjhara Project Colly,SECL,B,110,96,48,12.73
2025-09-02,Nigahi OC,SCCL,C,227,206,54,9.25
2025-09-03,Moonidih Colliery,SCCL,A,286,280,38,2.1
2025-09-03,Jhanjhara Project Colly,MCL,B,100,97,48,3.0
2025-09-03,Moonidih Colliery,ECL,C,93,80,58,13.98
2025-09-04,Singrauli OC,CCL,A,217,201,40,7.37
2025-09-04,Talcher OC,CCL,B,306,299,47,2.29
2025-09-04,Kusmunda OC,SCCL,C,331,326,32,1.51
2025-09-05,Kusmunda OC,BCCL,A,250,223,20,10.8
2025-09-05,Gevra OC,SECL,B,290,274,52,5.52
2025-09-05,Kusmunda OC,MCL,C,98,89,26,9.18
2025-09-06,Gevra OC,WCL,A,139,137,42,1.44
2025-09-06,Sohagpur UG,SCCL,B,80,75,36,6.25
2025-09-06,Ningah Colliery,SCCL,C,176,162,50,7.95
2025-09-07,Dipka OC,CCL,A,106,93,28,12.26
2025-09-07,Dipka OC,NCL,B,328,284,55,13.41
2025-09-07,Madhusudanpur Colliery,WCL,C,239,221,15,7.53
2025-09-08,Kusunda Colliery,BCCL,A,138,126,51,8.7
2025-09-08,Sohagpur UG,SECL,B,158,145,42,8.23
2025-09-08,Nigahi OC,SCCL,C,219,198,40,9.59
2025-09-09,Kusunda Colliery,WCL,A,313,290,22,7.35
2025-09-09,Manikpur UG,CCL,B,340,324,14,4.71
2025-09-09,Moonidih Colliery,SECL,C,292,262,10,10.27
2025-09-10,Moonidih Colliery,SCCL,A,232,224,19,3.45
2025-09-10,Dipka OC,WCL,B,327,293,39,10.4
2025-09-10,Manikpur UG,NCL,C,244,237,46,2.87
2025-09-11,Kusmunda OC,WCL,A,199,192,12,3.52
2025-09-11,Gevra OC,WCL,B,322,305,34,5.28
2025-09-11,Singrauli OC,ECL,C,157,144,18,8.28
2025-09-12,Talcher OC,SCCL,A,249,241,16,3.21
2025-09-12,Talcher OC,CCL,B,313,266,36,15.02
2025-09-12,Sohagpur UG,SECL,C,159,136,31,14.47
2025-09-13,Jharsuguda OC,MCL,A,283,266,53,6.01
2025-09-13,Sohagpur UG,SCCL,B,274,269,44,1.82
2025-09-13,Ningah Colliery,SECL,C,115,101,24,12.17
2025-09-14,Nigahi OC,BCCL,A,126,114,58,9.52
2025-09-14,Singrauli OC,SECL,B,131,119,11,9.16
2025-09-14,Ningah Colliery,SECL,C,246,236,32,4.07
2025-09-15,Gevra OC,WCL,A,300,261,46,13.0
2025-09-15,Singrauli OC,BCCL,B,172,150,49,12.79
2025-09-15,Sohagpur UG,NCL,C,275,257,41,6.55
2025-09-16,Manikpur UG,SECL,A,153,135,39,11.76
2025-09-16,Moonidih Colliery,SCCL,B,84,81,28,3.57
2025-09-16,Singrauli OC,MCL,C,160,137,47,14.38
2025-09-17,Moonidih Colliery,SCCL,A,297,281,29,5.39
2025-09-17,Kusunda Colliery,BCCL,B,276,267,25,3.26
2025-09-17,Kusmunda OC,SECL,C,263,244,11,7.22
2025-09-18,Sohagpur UG,ECL,A,282,250,48,11.35
2025-09-18,Nigahi OC,SECL,B,334,322,59,3.59
2025-09-18,Amlohri OC,MCL,C,197,184,24,6.6
2025-09-19,Singrauli OC,CCL,A,177,165,50,6.78
2025-09-19,Jhanjhara Project Colly,SCCL,B,100,89,12,11.0
2025-09-19,Jharsuguda OC,BCCL,C,266,253,28,4.89
2025-09-20,Gevra OC,CCL,A,292,255,60,12.67
2025-09-20,Talcher OC,SECL,B,267,246,20,7.87
2025-09-20,Moonidih Colliery,SECL,C,326,321,57,1.53
2025-09-21,Sohagpur UG,SCCL,A,253,243,14,3.95
2025-09-21,Madhusudanpur Colliery,WCL,B,195,189,45,3.08
2025-09-21,Gevra OC,ECL,C,126,121,26,3.97
2025-09-22,Talcher OC,SECL,A,143,130,47,9.09
