company,year,bg_accidents,bg_injured,oc_accidents,oc_injured,ag_accidents,ag_injured,total_accidents,total_injured
BCCL,2017,4,4,0,0,1,1,5,5
BCCL,2018,4,4,1,1,1,1,6,6
BCCL,2019,4,4,0,3,0,1,4,8
BCCL,2020,1,1,1,6,3,3,5,10
BCCL,2021,2,2,3,5,2,2,7,9
BCCL,2022,1,1,2,3,2,2,5,6
BCCL,2023,3,3,1,1,3,3,7,7
BCCL,2024,1,2,1,1,0,0,2,3
CCL,2017,2,2,0,0,1,1,3,3
CCL,2018,2,2,3,4,0,7,5,13
CCL,2019,1,1,0,0,0,0,1,1
CCL,2020,0,0,1,1,0,0,1,1
CCL,2021,0,0,1,1,1,1,2,2
CCL,2022,0,0,2,2,1,1,3,3
CCL,2023,0,0,0,0,1,2,1,2
CCL,2024,0,0,0,0,1,1,1,1
ECL,2017,5,5,1,1,0,0,6,6
ECL,2018,6,7,0,0,3,3,9,10
ECL,2019,8,8,0,0,3,7,11,15
ECL,2020,6,9,1,4,1,1,8,14
ECL,2021,7,8,0,0,3,3,10,11
ECL,2022,6,6,2,2,1,1,9,9
ECL,2023,2,5,1,1,1,1,4,7
ECL,2024,2,2,1,1,0,0,3,3
MCL,2017,0,0,1,1,1,1,2,2
MCL,2018,0,0,1,3,1,1,2,4
MCL,2019,0,0,2,2,0,0,2,2
MCL,2020,1,1,1,1,0,0,2,2
MCL,2021,0,0,0,0,3,3,3,3
MCL,2022,0,0,2,2,2,2,4,4
MCL,2023,0,0,1,4,0,0,1,4
MCL,2024,0,0,2,2,0,0,2,2
NCL,2017,0,0,6,6,0,0,6,6
NCL,2018,0,0,7,7,0,0,7,7
NCL,2019,0,0,2,3,0,0,2,3
NCL,2020,0,0,4,6,1,2,5,8
NCL,2021,1,1,6,6,0,0,7,7
NCL,2022,0,0,7,7,1,1,8,8
NCL,2023,0,0,11,15,1,1,12,16
NCL,2024,0,0,3,8,0,0,3,8
SECL,2017,8,8,2,2,1,1,11,11
SECL,2018,10,12,0,0,2,2,12,14
SECL,2019,8,8,4,4,2,2,14,14
SECL,2020,2,2,3,3,2,2,7,7
SECL,2021,11,11,3,3,5,5,19,19
SECL,2022,16,17,4,4,7,7,27,28
SECL,2023,5,6,4,4,3,3,12,13
SECL,2024,6,6,2,2,3,3,11,11
WCL,2017,3,3,2,2,3,3,8,8
WCL,2018,8,8,4,4,2,2,14,14
WCL,2019,4,5,5,5,5,5,14,15
WCL,2020,0,0,1,1,3,3,4,4
WCL,2021,0,0,2,2,3,4,5,6
WCL,2022,2,2,5,7,3,3,10,12
WCL,2023,2,2,1,1,0,0,3,3
WCL,2024,0,0,3,3,1,1,4,4
AMBUJA,2022,1,1,0,0,0,0,1,1
GMDC,2018,0,0,1,1,0,0,1,1
GMDC,2020,0,0,1,1,0,0,1,1
GMDC,2022,0,0,1,1,0,0,1,1
GMDC,2023,0,0,0,0,2,2,2,2
IISCO,2018,0,0,1,1,0,0,1,1
IISCO,2020,1,1,0,0,0,0,1,1
IISCO,2021,0,0,0,0,1,2,1,2
IISCO,2023,1,1,0,0,1,1,2,2
NLCL,2021,0,0,1,1,0,0,1,1
NLCL,2022,0,0,1,1,0,0,1,1
NLCL,2024,0,0,1,1,1,1,2,2
RSMML,2022,0,0,0,0,1,1,1,1
RSMML,2024,0,0,1,1,0,0,1,1
SASAN Power,2017,0,0,1,1,0,0,1,1
SASAN Power,2018,0,0,1,1,0,0,1,1
SASAN Power,2022,0,0,0,0,1,1,1,1
SCCL,2017,163,168,19,19,37,38,219,225
SCCL,2018,144,145,24,24,39,39,207,208
SCCL,2019,100,100,17,17,26,26,143,143
SCCL,2020,53,57,8,11,18,18,79,86
SCCL,2021,84,86,15,15,27,27,126,128
SCCL,2022,62,67,17,17,23,23,102,107
SCCL,2023,42,42,11,11,14,14,67,67
SCCL,2024,53,53,11,11,25,25,89,89
TATA Steel,2017,5,5,0,0,0,0,5,5
TATA Steel,2019,2,3,0,0,0,0,2,3
TATA Steel,2020,4,4,0,0,0,0,4,4
TATA Steel,2021,3,3,1,1,1,1,5,5
TATA Steel,2022,6,6,1,1,1,1,8,8
TATA Steel,2023,3,3,1,1,2,3,6,7
TATA Steel,2024,1,1,0,0,0,0,1,1
WBPDC,2024,0,0,0,1,0,0,0,1
