inspection_id,timestamp,mine,subsidiary,latitude,longitude,inspector_id,observation_type,severity,corrective_action_status
INSP0001,2025-03-08T05:00:00,Gevra OC,SCCL,23.4401,86.2566,INS148,Housekeeping,Critical,Open
INSP0002,2025-03-10T03:00:00,Amlohri OC,CCL,25.908,82.8127,INS161,PPE Compliance,High,Closed
INSP0003,2025-06-26T02:00:00,Sohagpur UG,BCCL,22.3804,93.4768,INS134,Electrical Safety,Medium,Overdue
INSP0004,2025-02-01T07:00:00,Manikpur UG,NCL,25.5702,95.2994,INS103,Electrical Safety,Low,Overdue
INSP0005,2025-06-21T08:00:00,Gevra OC,NCL,22.987,83.2541,INS128,Safety Equipment Check,High,Closed
INSP0006,2025-04-25T10:00:00,Amlohri OC,CCL,21.4956,86.3332,INS160,Water Accumulation,Medium,Overdue
INSP0007,2025-06-03T02:00:00,Jharsuguda OC,ECL,26.1051,82.3151,INS127,PPE Compliance,Medium,Overdue
INSP0008,2025-02-07T22:00:00,Amlohri OC,SECL,22.0958,83.8577,INS130,Electrical Safety,Critical,Closed
INSP0009,2025-02-07T20:00:00,Sohagpur UG,SCCL,24.2504,82.2765,INS165,Housekeeping,Medium,Open
INSP0010,2025-04-10T10:00:00,Kusmunda OC,ECL,24.3589,85.6385,INS153,Ventilation Inspection,Low,In Progress
INSP0011,2025-01-24T02:00:00,Talcher OC,ECL,23.0127,89.082,INS181,Electrical Safety,High,In Progress
INSP0012,2025-01-06T13:00:00,Gevra OC,BCCL,22.7388,93.0241,INS180,Safety Equipment Check,High,Open
INSP0013,2025-01-16T03:00:00,Gevra OC,MCL,25.5511,84.6563,INS199,Water Accumulation,Critical,Overdue
INSP0014,2025-03-04T05:00:00,Amlohri OC,CCL,21.0486,93.6729,INS158,Safety Equipment Check,High,Open
INSP0015,2025-01-15T22:00:00,Amlohri OC,NCL,25.9847,86.7639,INS139,Housekeeping,Critical,Overdue
INSP0016,2025-03-28T11:00:00,Ningah Colliery,NCL,22.3867,94.9621,INS106,PPE Compliance,High,In Progress
INSP0017,2025-02-12T11:00:00,Amlohri OC,MCL,23.2917,88.0303,INS156,Electrical Safety,High,Open
INSP0018,2025-06-19T08:00:00,Nigahi OC,SCCL,22.8741,93.9894,INS134,PPE Compliance,Low,Overdue
INSP0019,2025-01-27T22:00:00,Kusmunda OC,CCL,23.9428,86.8482,INS110,Slope Stability,High,In Progress
INSP0020,2025-06-02T04:00:00,Jharsuguda OC,WCL,21.6699,88.6886,INS157,Safety Equipment Check,High,Overdue
INSP0021,2025-04-04T17:00:00,Singrauli OC,ECL,21.1202,91.5927,INS146,Housekeeping,Medium,Closed
INSP0022,2025-02-18T17:00:00,Sohagpur UG,SCCL,20.8788,83.0385,INS199,Water Accumulation,High,In Progress
INSP0023,2025-05-11T16:00:00,Jharsuguda OC,ECL,24.3006,92.2159,INS147,Slope Stability,Critical,Closed
INSP0024,2025-07-15T21:00:00,Madhusudanpur Colliery,MCL,23.0582,91.7734,INS131,Safety Equipment Check,Low,Open
INSP0025,2025-06-20T08:00:00,Talcher OC,WCL,26.1513,83.7964,INS199,Slope Stability,Critical,Open
INSP0026,2025-04-08T11:00:00,Nigahi OC,SCCL,21.8711,84.0659,INS109,Electrical Safety,Medium,Overdue
INSP0027,2025-01-30T23:00:00,Amlohri OC,MCL,24.677,92.6731,INS170,Housekeeping,High,In Progress
INSP0028,2025-02-23T18:00:00,Nigahi OC,CCL,25.4322,89.6613,INS115,Ventilation Inspection,Medium,Open
INSP0029,2025-06-18T15:00:00,Ningah Colliery,MCL,23.9941,87.5637,INS170,Ventilation Inspection,Low,Closed
INSP0030,2025-04-16T13:00:00,Kusmunda OC,SCCL,23.8242,93.5675,INS173,Safety Equipment Check,Medium,In Progress
INSP0031,2025-01-26T07:00:00,Dipka OC,SCCL,24.7507,87.1977,INS199,Housekeeping,Medium,Open
INSP0032,2025-05-28T16:00:00,Talcher OC,ECL,25.6583,89.8015,INS138,Ventilation Inspection,Medium,In Progress
INSP0033,2025-03-18T23:00:00,Gevra OC,SECL,25.7456,85.7891,INS181,Housekeeping,High,Open
INSP0034,2025-04-14T08:00:00,Jharsuguda OC,BCCL,23.6854,84.5595,INS174,Ventilation Inspection,Medium,In Progress
INSP0035,2025-07-12T09:00:00,Ningah Colliery,ECL,21.1573,96.2582,INS198,Housekeeping,High,Open
INSP0036,2025-07-15T06:00:00,Kusmunda OC,ECL,23.6582,91.4375,INS137,Water Accumulation,High,Overdue
INSP0037,2025-03-25T14:00:00,Amlohri OC,WCL,22.4546,83.1246,INS107,Ventilation Inspection,Critical,Overdue
INSP0038,2025-06-15T06:00:00,Dipka OC,NCL,22.7112,84.185,INS191,Slope Stability,High,Overdue
INSP0039,2025-02-14T15:00:00,Amlohri OC,MCL,23.7599,83.6228,INS130,Electrical Safety,Low,In Progress
INSP0040,2025-06-03T11:00:00,Kusunda Colliery,CCL,21.2509,86.3832,INS149,PPE Compliance,Critical,Open
INSP0041,2025-02-24T12:00:00,Sohagpur UG,MCL,26.2725,92.8469,INS124,PPE Compliance,Medium,Overdue
INSP0042,2025-06-25T16:00:00,Dipka OC,SCCL,25.9445,89.4906,INS111,Electrical Safety,Critical,Open
INSP0043,2025-03-15T10:00:00,Jharsuguda OC,MCL,20.9619,86.2503,INS176,PPE Compliance,Critical,In Progress
INSP0044,2025-07-03T04:00:00,Ningah Colliery,BCCL,23.2556,95.2668,INS193,Slope Stability,Critical,In Progress
INSP0045,2025-01-16T10:00:00,Kusmunda OC,ECL,24.0917,84.9498,INS170,Slope Stability,Low,Overdue
INSP0046,2025-06-22T02:00:00,Dipka OC,SECL,25.6219,91.3786,INS178,Safety Equipment Check,Medium,Closed
INSP0047,2025-05-15T10:00:00,Gevra OC,MCL,24.017,87.5141,INS118,Ventilation Inspection,Critical,Closed
INSP0048,2025-01-16T11:00:00,Ningah Colliery,CCL,24.9516,94.0895,INS166,Electrical Safety,Medium,Open
INSP0049,2025-04-22T22:00:00,Manikpur UG,MCL,21.645,96.8892,INS194,PPE Compliance,High,In Progress
INSP0050,2025-06-23T03:00:00,Sohagpur UG,SCCL,24.9224,86.5269,INS102,Slope Stability,High,Closed
INSP0051,2025-05-23T04:00:00,Jharsuguda OC,SECL,25.4505,92.9099,INS188,Water Accumulation,Low,Overdue
INSP0052,2025-04-01T15:00:00,Singrauli OC,NCL,24.9984,90.7828,INS121,Housekeeping,Critical,Open
