grievance_id,date_filed,mine,subsidiary,category,description_short,status,days_to_resolve,escalated
GRV0001,2025-05-03,Kusmunda OC,BCCL,Working Hours,Worker-reported issue via mobile app,Escalated,,Yes
GRV0002,2025-07-02,Jhanjhara Project Colly,BCCL,Housing/Welfare,Worker-reported issue via mobile app,Escalated,,Yes
GRV0003,2025-06-05,Madhusudanpur Colliery,SECL,Harassment/Conduct,Worker-reported issue via mobile app,Resolved,5,No
GRV0004,2025-06-12,Nigahi OC,MCL,Working Hours,Worker-reported issue via mobile app,Closed - No Action,36,No
GRV0005,2025-06-02,Dipka OC,WCL,Wages/Payment Delay,Worker-reported issue via mobile app,Closed - No Action,19,No
GRV0006,2025-07-23,Singrauli OC,NCL,Working Hours,Worker-reported issue via mobile app,Resolved,42,No
GRV0007,2025-04-26,Gevra OC,SCCL,Working Hours,Worker-reported issue via mobile app,Resolved,27,No
GRV0008,2025-04-17,Kusmunda OC,MCL,Medical Facility,Worker-reported issue via mobile app,Resolved,21,No
GRV0009,2025-03-07,Madhusudanpur Colliery,SCCL,Wages/Payment Delay,Worker-reported issue via mobile app,In Progress,,No
GRV0010,2025-01-24,Kusmunda OC,BCCL,Medical Facility,Worker-reported issue via mobile app,Resolved,6,No
GRV0011,2025-07-09,Amlohri OC,CCL,Harassment/Conduct,Worker-reported issue via mobile app,In Progress,,No
GRV0012,2025-01-16,Talcher OC,MCL,Medical Facility,Worker-reported issue via mobile app,Closed - No Action,36,No
GRV0013,2025-02-01,Gevra OC,WCL,Transport,Worker-reported issue via mobile app,Escalated,,Yes
GRV0014,2025-08-23,Jharsuguda OC,SECL,Housing/Welfare,Worker-reported issue via mobile app,Resolved,19,No
GRV0015,2025-01-27,Kusunda Colliery,CCL,Medical Facility,Worker-reported issue via mobile app,Closed - No Action,33,No
GRV0016,2025-05-04,Gevra OC,MCL,Wages/Payment Delay,Worker-reported issue via mobile app,Resolved,7,No
GRV0017,2025-07-15,Jharsuguda OC,NCL,Transport,Worker-reported issue via mobile app,In Progress,,No
GRV0018,2025-04-20,Jharsuguda OC,ECL,Harassment/Conduct,Worker-reported issue via mobile app,Closed - No Action,40,No
GRV0019,2025-08-26,Ningah Colliery,CCL,Housing/Welfare,Worker-reported issue via mobile app,In Progress,,No
GRV0020,2025-06-29,Manikpur UG,MCL,Housing/Welfare,Worker-reported issue via mobile app,In Progress,,No
GRV0021,2025-01-02,Jharsuguda OC,WCL,Wages/Payment Delay,Worker-reported issue via mobile app,Resolved,10,No
GRV0022,2025-02-06,Nigahi OC,NCL,Working Hours,Worker-reported issue via mobile app,Resolved,6,No
GRV0023,2025-04-18,Gevra OC,CCL,Housing/Welfare,Worker-reported issue via mobile app,Escalated,,Yes
GRV0024,2025-03-21,Amlohri OC,BCCL,Wages/Payment Delay,Worker-reported issue via mobile app,In Progress,,No
GRV0025,2025-02-09,Ningah Colliery,BCCL,Housing/Welfare,Worker-reported issue via mobile app,Resolved,40,No
GRV0026,2025-04-24,Dipka OC,SCCL,Working Hours,Worker-reported issue via mobile app,Escalated,,Yes
GRV0027,2025-03-11,Jhanjhara Project Colly,MCL,Working Hours,Worker-reported issue via mobile app,Resolved,33,No
GRV0028,2025-01-29,Singrauli OC,SCCL,Harassment/Conduct,Worker-reported issue via mobile app,In Progress,,No
GRV0029,2025-06-20,Ningah Colliery,NCL,Working Hours,Worker-reported issue via mobile app,In Progress,,No
GRV0030,2025-06-03,Kusunda Colliery,SECL,Safety Equipment Shortage,Worker-reported issue via mobile app,Resolved,1,No
GRV0031,2025-07-16,Moonidih Colliery,MCL,Wages/Payment Delay,Worker-reported issue via mobile app,Resolved,17,No
GRV0032,2025-01-02,Nigahi OC,WCL,Safety Equipment Shortage,Worker-reported issue via mobile app,Escalated,,Yes
