sl_no,nature_of_defect,no_of_cases
1,High benches in opencast workings,29
2,Inadequate support,1
3,Poor ventilation,4
4,Inadequate coal dust suppression,6
5,Isolation Stopping,5
6,Improper/non-provision of traveling road,2
7,Danger of Inundation,2
8,Unstable working,1
9,Lag of stowing,0
10,Accumulation of gases,0
11,Defective Electrical installation,15
12,Inadequate earth leakage protection,0
13,Defective winding rope,1
14,Other defects in winding installation,3
15,Defective shot-firing practices,2
16,Others,52
,Total,123
