sl_no,particulars,no_of_cases
1,Extraction of coal by methods other than board & pillar beneath areas free from surface features,11
2,Extraction of coal by methods other than Board & Pillar below surface features,10
3,Extraction of coal by Board & Pillar method beneath areas free from surface features,46
4,Extraction of coal by Board & Pillar method beneath surface features,33
5,Development below surface features including development in contiguous seams/sections,36
6,Blasting coal off the solid,24
7,Development within 60m of waterlogged workings,3
8,Workings within 7.5m / Adjustment of mine boundaries,6
9,Exemptions from different provisions of regulations,46
10,Others,310
,Total,525
