company,year,bg_accidents,bg_killed,oc_accidents,oc_killed,ag_accidents,ag_killed,total_accidents,total_killed
BCCL,2017,1,1,0,0,1,1,2,2
BCCL,2018,0,0,2,4,2,2,4,6
BCCL,2019,2,2,2,2,3,3,7,7
BCCL,2020,0,0,3,3,1,1,4,4
BCCL,2021,1,2,2,2,0,0,3,4
BCCL,2022,0,0,4,5,0,0,4,5
BCCL,2023,0,0,5,6,1,1,6,7
CCL,2017,2,3,5,5,0,0,7,8
CCL,2018,2,2,2,2,1,4,5,8
CCL,2019,1,1,1,1,0,0,2,2
CCL,2020,0,0,2,2,0,0,2,2
CCL,2021,0,0,1,1,1,1,2,2
CCL,2022,2,2,1,1,0,0,3,3
CCL,2023,0,0,4,4,0,0,4,4
CCL,2024,0,0,3,3,0,0,3,3
ECL,2017,5,5,3,3,2,2,10,10
ECL,2018,1,2,0,0,0,0,1,2
ECL,2019,6,6,1,1,1,1,8,8
ECL,2020,5,6,1,1,1,1,7,8
ECL,2021,6,6,2,2,1,2,9,10
ECL,2022,2,2,0,0,0,0,2,2
ECL,2023,4,4,0,0,1,1,5,5
ECL,2024,2,2,0,0,1,2,3,4
MCL,2017,0,0,5,5,0,0,5,5
MCL,2018,1,1,6,6,1,1,8,8
MCL,2019,0,0,5,8,2,2,7,10
MCL,2020,1,1,3,3,1,1,5,5
MCL,2021,0,0,1,1,1,1,2,2
MCL,2023,0,0,5,7,1,1,6,8
MCL,2024,1,1,2,2,0,0,3,3
NCL,2017,0,0,4,4,0,0,4,4
NCL,2018,0,0,3,3,1,1,4,4
NCL,2019,0,0,2,2,1,1,3,3
NCL,2020,0,0,2,2,0,0,2,2
NCL,2021,0,0,3,3,0,0,3,3
NCL,2022,0,0,0,0,1,1,1,1
NCL,2023,0,0,3,3,0,0,3,3
NCL,2024,0,0,4,4,2,3,6,7
SECL,2017,3,5,4,4,1,1,8,10
SECL,2018,5,8,7,7,1,1,13,16
SECL,2019,2,3,4,4,1,1,7,8
SECL,2020,3,3,6,6,3,3,12,12
SECL,2021,5,5,2,2,0,0,7,7
SECL,2022,2,2,4,4,2,2,8,8
SECL,2023,1,1,2,2,0,0,3,3
SECL,2024,3,4,3,3,3,3,9,10
WCL,2017,3,3,1,1,1,2,5,6
WCL,2018,1,4,1,1,1,1,3,6
WCL,2019,2,3,1,1,0,0,3,4
WCL,2020,2,2,2,2,1,1,5,5
WCL,2021,1,1,4,4,1,1,6,6
WCL,2022,1,2,0,0,0,0,1,2
WCL,2023,0,0,2,2,0,0,2,2
WCL,2024,0,0,2,2,0,0,2,2
BALCO,2019,0,0,1,1,0,0,1,1
GIPCL,2018,0,0,1,2,0,0,1,2
GMDC,2024,0,0,1,1,0,0,1,1
Hindalco,2019,0,0,1,1,0,0,1,1
IISCO,2019,1,1,0,0,0,0,1,1
IISCO,2020,1,1,0,0,0,0,1,1
JMS Mining,2024,0,0,1,1,0,0,1,1
KPCL,2023,0,0,0,0,1,1,1,1
NLCL,2017,0,0,1,1,0,0,1,1
NLCL,2018,0,0,1,1,0,0,1,1
NLCL,2019,0,0,2,2,0,0,2,2
NLCL,2023,0,0,0,0,1,1,1,1
NLCL,2024,0,0,2,2,0,0,2,2
NTPC,2017,0,0,0,0,1,1,1,1
NTPC,2021,0,0,1,1,0,0,1,1
RCCPL,2021,1,1,0,0,0,0,1,1
SASAN Power,2018,0,0,1,1,0,0,1,1
SASAN Power,2020,0,0,1,2,0,0,1,2
SCCL,2017,4,4,5,5,3,4,12,13
SCCL,2018,2,2,5,5,1,1,8,8
SCCL,2019,4,4,2,2,2,2,8,8
SCCL,2020,3,3,4,7,2,2,9,12
SCCL,2021,2,6,4,6,1,1,7,13
SCCL,2022,2,4,1,1,1,1,4,6
SCCL,2023,3,3,2,2,1,1,6,6
SCCL,2024,3,3,2,3,2,2,7,8
TATA Steel,2019,1,1,0,0,0,0,1,1
TATA Steel,2021,0,0,0,0,1,1,1,1
TATA Steel,2023,0,0,1,1,0,0,1,1
TSPGC,2022,0,0,1,1,0,0,1,1
VS Lignite,2017,0,0,1,1,0,0,1,1
WBPDC,2021,0,0,1,1,0,0,1,1
WBPDC,2024,0,0,1,8,0,0,1,8
